MAF	Coding - missense	Coding - Nonsense	Coding - Frameshift	Coding - Indel (in frame)	Coding - Synonymous	Coding - Splice site	Intron	5'UTR	3'UTR	Intergenic
0.01	2645	46	120	35	1832	490	207721	20549	3876	289709
0.02	1970	40	65	43	1415	431	179885	17703	3481	246593
0.03	1367	23	29	28	1007	312	130761	13226	2445	182161
0.04	1080	11	23	19	840	253	102512	10335	1972	142230
0.05	769	11	14	15	638	201	77702	7625	1516	107911
0.06	566	12	9	6	487	137	57464	5893	1142	81187
0.07	452	4	10	5	315	92	44645	4480	918	64930
0.08	341	1	4	7	246	87	33783	3484	660	48821
0.09	270	4	7	6	219	73	27314	2762	568	38440
0.10	167	4	4	1	140	46	18130	1953	368	26713
0.50	674	10	57	73	462	307	130387	13528	2658	190113
